HandID,TourneyID,RawData,Seat,Player,StartingStack,
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,1.93564E+11,2457182185,Seat 8: marmagoa (1500 in chips),8,marmagoa,1500
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (1500 in chips),9,gildedlilly,1500
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (1360 in chips),1,Goldor999,1360
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 3: Gleison333 (3470 in chips),3,Gleison333,3470
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1500 in chips),4,surfcamp171,1500
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3100 in chips),5,gu_tascheck,3100
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (1590 in chips),6,TXROPER1,1590
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1480 in chips),7,Actex12,1480
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 8: marmagoa (820 in chips) is sitting out,8,marmagoa,820
 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (190 in chips),9,gildedlilly,190
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (1170 in chips),1,Goldor999,1170
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 3: Gleison333 (3470 in chips),3,Gleison333,3470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1500 in chips),4,surfcamp171,1500
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3100 in chips),5,gu_tascheck,3100
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (1590 in chips),6,TXROPER1,1590
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips),7,Actex12,1470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 8: marmagoa (630 in chips) is sitting out,8,marmagoa,630
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (580 in chips),9,gildedlilly,580
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (1170 in chips),1,Goldor999,1170
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 3: Gleison333 (3470 in chips),3,Gleison333,3470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1500 in chips) is sitting out,4,surfcamp171,1500
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3070 in chips),5,gu_tascheck,3070
