RawHandID,HandID,TourneyID,RawData,Seat,Player,StartingStack
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 1: Goldor999 (1500 in chips),1,Goldor999,1500
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 3: Gleison333 (1470 in chips),3,Gleison333,1470
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 4: palmabeach63 (1250 in chips),4,palmabeach63,1250
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 5: gu_tascheck (1530 in chips),5,gu_tascheck,1530
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 6: TXROPER1 (1760 in chips),6,TXROPER1,1760
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 7: Actex12 (1500 in chips),7,Actex12,1500
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 8: marmagoa (1500 in chips),8,marmagoa,1500
PokerStars Hand #193563762005: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:42 ET,193563762005,2457182185,Seat 9: gildedlilly (1500 in chips),9,gildedlilly,1500
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 1: Goldor999 (1500 in chips),1,Goldor999,1500
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 3: Gleison333 (1310 in chips),3,Gleison333,1310
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 5: gu_tascheck (3100 in chips),5,gu_tascheck,3100
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 6: TXROPER1 (1600 in chips),6,TXROPER1,1600
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 7: Actex12 (1500 in chips),7,Actex12,1500
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 8: marmagoa (1500 in chips),8,marmagoa,1500
PokerStars Hand #193563792327: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:07:46 ET,193563792327,2457182185,Seat 9: gildedlilly (1500 in chips),9,gildedlilly,1500
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 1: Goldor999 (1360 in chips),1,Goldor999,1360
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 3: Gleison333 (3470 in chips),3,Gleison333,3470
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 4: surfcamp171 (1500 in chips),4,surfcamp171,1500
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 5: gu_tascheck (3100 in chips),5,gu_tascheck,3100
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 6: TXROPER1 (1590 in chips),6,TXROPER1,1590
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 7: Actex12 (1480 in chips),7,Actex12,1480
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 8: marmagoa (820 in chips) is sitting out,8,marmagoa,820
PokerStars Hand #193563841729: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:09:29 ET,193563841729,2457182185,Seat 9: gildedlilly (190 in chips),9,gildedlilly,190
PokerStars Hand #193563865326: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:10:19 ET,193563865326,2457182185,Seat 1: Goldor999 (1170 in chips),1,Goldor999,1170
